Sheldon Cooper;sheldon.cooper@bigbangtheory.com
Leonard Hofstadter;leonard.hofstadter@bigbangtheory.com
Penny;penny@bigbangtheory.com
Howard Wolowitz;howard.wolowitz@bigbangtheory.com
Rajesh Koothrappali;rajesh.koothrappali@bigbangtheory.com
Amy Farrah Fowler;amy.farrahfowler@bigbangtheory.com
Bernadette Rostenkowski-Wolowitz;bernadette.wolowitz@bigbangtheory.com
Jon Snow;jon.snow@gameofthrones.com
Daenerys Targaryen;daenerys.targaryen@gameofthrones.com
Tyrion Lannister;tyrion.lannister@gameofthrones.com
Cersei Lannister;cersei.lannister@gameofthrones.com
Jaime Lannister;jaime.lannister@gameofthrones.com
Sansa Stark;sansa.stark@gameofthrones.com
Arya Stark;arya.stark@gameofthrones.com
Bran Stark;bran.stark@gameofthrones.com
Ned Stark;ned.stark@gameofthrones.com
Robb Stark;robb.stark@gameofthrones.com
Khal Drogo;khal.drogo@gameofthrones.com
Joffrey Baratheon;joffrey.baratheon@gameofthrones.com
Theon Greyjoy;theon.greyjoy@gameofthrones.com
Samwell Tarly;samwell.tarly@gameofthrones.com
Jay Pritchett;jay.pritchett@modernfamily.com
Gloria Pritchett;gloria.pritchett@modernfamily.com
Manny Delgado;manny.delgado@modernfamily.com
Claire Dunphy;claire.dunphy@modernfamily.com
Phil Dunphy;phil.dunphy@modernfamily.com
Haley Dunphy;haley.dunphy@modernfamily.com
Alex Dunphy;alex.dunphy@modernfamily.com
Luke Dunphy;luke.dunphy@modernfamily.com
Mitchell Pritchett;mitchell.pritchett@modernfamily.com
Cameron Tucker;cameron.tucker@modernfamily.com
Lily Tucker-Pritchett;lily.tuckerpritchett@modernfamily.com
Meredith Grey;meredith.grey@greysanatomy.com
Derek Shepherd;derek.shepherd@greysanatomy.com
Cristina Yang;cristina.yang@greysanatomy.com
Alex Karev;alex.karev@greysanatomy.com
Izzie Stevens;izzie.stevens@greysanatomy.com
George O’Malley;george.omalley@greysanatomy.com
Miranda Bailey;miranda.bailey@greysanatomy.com
Richard Webber;richard.webber@greysanatomy.com
Callie Torres;callie.torres@greysanatomy.com
Arizona Robbins;arizona.robbins@greysanatomy.com
Mark Sloan;mark.sloan@greysanatomy.com
Lexie Grey;lexie.grey@greysanatomy.com
Owen Hunt;owen.hunt@greysanatomy.com
April Kepner;april.kepner@greysanatomy.com
Jackson Avery;jackson.avery@greysanatomy.com
